2019-09-12 01:41:52.849121|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
2019-09-12 02:44:41.767011|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:49479
2019-09-12 02:53:29.099741|INFO    |VirtualServerBase|1  |client disconnected '▶ lil r ◀'(id:7) reason 'reasonmsg=saliendo'
2019-09-12 04:32:36.953544|INFO    |VirtualServerBase|1  |client connected 'ConnexD'(id:2) using a myTeamSpeak ID from 187.253.123.123:2805
2019-09-12 04:32:37.566439|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1612103521' by client 'ConnexD'(id:2)
2019-09-12 04:32:37.581980|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1377924223' by client 'ConnexD'(id:2)
2019-09-12 04:32:37.582126|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1036548476' by client 'ConnexD'(id:2)
2019-09-12 04:32:37.582297|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_4223750993' by client 'ConnexD'(id:2)
2019-09-12 04:32:37.582457|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1217419634' by client 'ConnexD'(id:2)
2019-09-12 04:32:37.582588|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2424331456' by client 'ConnexD'(id:2)
2019-09-12 04:32:37.582705|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1165272063' by client 'ConnexD'(id:2)
2019-09-12 04:32:37.597034|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2463615792' by client 'ConnexD'(id:2)
2019-09-12 04:32:56.695046|INFO    |VirtualServerBase|1  |client disconnected 'ConnexD'(id:2) reason 'reasonmsg=....TS3 Android....'
2019-09-12 14:47:21.585244|INFO    |VirtualServerBase|1  |client connected 'ConnexD'(id:2) using a myTeamSpeak ID from 201.175.203.187:27479
2019-09-12 14:47:49.722795|INFO    |VirtualServerBase|1  |client disconnected 'ConnexD'(id:2) reason 'reasonmsg=....TS3 Android....'
2019-09-12 18:41:18.567230|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:52573
2019-09-12 19:18:55.851559|INFO    |VirtualServerBase|1  |client connected 'Black'(id:14) from 186.147.180.165:57758
2019-09-12 20:08:27.305125|INFO    |VirtualServerBase|1  |client connected 'lordwephia'(id:13) using a myTeamSpeak ID from 177.228.13.235:58514
2019-09-12 20:08:27.935956|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1933935006' by client 'lordwephia'(id:13)
2019-09-12 20:08:27.979014|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3743964162' by client 'lordwephia'(id:13)
2019-09-12 20:08:47.477343|INFO    |VirtualServerBase|1  |client disconnected 'lordwephia'(id:13) reason 'reasonmsg=saliendo'
2019-09-12 20:34:26.772118|INFO    |PktHandler    |1  |Dropping client 2 because of ping timeout 19 0 0
2019-09-12 20:34:26.772514|INFO    |VirtualServerBase|1  |client disconnected 'Blue'(id:14) reason 'reasonmsg=connection lost'
2019-09-12 21:39:01.339645|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:17831
2019-09-12 21:57:29.379789|INFO    |VirtualServerBase|1  |client connected 'Vzla'(id:6) using a myTeamSpeak ID from 186.88.159.67:52613
2019-09-12 22:15:10.229551|INFO    |VirtualServerBase|1  |client connected 'lordwephia'(id:13) using a myTeamSpeak ID from 177.228.13.235:19392
2019-09-12 22:15:10.884134|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3328931017' by client 'lordwephia'(id:13)
2019-09-12 22:15:10.887962|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_121396659' by client 'lordwephia'(id:13)
2019-09-12 22:15:10.888121|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2643147745' by client 'lordwephia'(id:13)
2019-09-12 22:15:10.888210|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2105949722' by client 'lordwephia'(id:13)
2019-09-12 22:15:57.013210|INFO    |VirtualServerBase|1  |client disconnected 'lordwephia'(id:13) reason 'reasonmsg=saliendo'
2019-09-12 22:49:21.950200|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
